weight,value
45,95
13,18
3,10
49,85
42,82
40,100
26,20
1,66
42,62
14,43
16,16
9,52
2,70
25,56
24,97
28,17
15,93
2,63
8,23
21,73
49,18
50,91
14,96
3,44
34,18
49,60
13,48
35,42
40,66
46,61
36,47
47,77
43,95
13,60
40,15
4,82
31,14
41,87
23,69
47,56
8,84
19,10
5,62
21,28
37,65
45,96
8,65
1,11
21,23
27,33
4,43
19,84
8,76
14,84
4,32
35,53
47,81
36,54
45,14
37,85
24,56
48,32
41,34
32,50
33,13
11,98
35,42
15,30
18,47
27,97
28,12
19,66
35,54
14,58
5,87
11,80
33,35
37,29
32,20
48,54
1,70
33,93
36,22
22,56
16,47
14,80
31,35
5,36
46,99
9,48
40,83
22,19
6,18
47,44
34,59
50,18
14,33
45,15
26,97
20,62
22,29
16,23
6,32
25,28
22,89
14,37
13,42
13,13
48,21
26,34
45,45
21,20
4,91
41,86
43,28
28,96
49,72
19,68
30,42
50,84
33,100
21,22
24,63
12,88
34,38
21,35
3,68
12,12
6,80
14,77
24,63
49,37
20,48
1,45
34,29
6,78
29,82
48,22
34,28
27,81
31,65
22,71
3,77
28,76
29,73
9,46
25,56
27,52
41,80
39,80
44,50
49,81
21,22
10,75
5,24
1,39
8,24
41,90
23,38
48,41
1,50
4,35
28,74
44,90
46,36
2,32
41,63
32,40
36,63
50,15
15,24
22,78
26,22
17,41
2,64
8,57
2,63
35,23
15,19
26,53
35,89
43,74
5,20
27,38
44,95
26,71
37,17
39,10
31,29
31,43
20,69
5,83
42,45
17,70
44,12
27,84
23,28
48,17
43,71
48,57
48,65
8,16
27,40
24,60
36,58
42,99
49,18
12,17
24,16
4,85
26,89
27,32
7,72
32,50
26,86
9,15
24,51
47,25
20,24
49,55
42,100
31,17
28,57
26,19
28,12
5,44
17,38
6,97
49,40
11,27
25,55
47,64
14,46
12,61
38,59
48,19
8,89
28,34
48,73
42,81
13,45
35,80
40,82
47,77
43,45
6,75
1,95
38,62
44,10
43,51
10,19
27,36
9,37
49,92
12,75
2,42
29,37
32,43
11,10
25,94
42,22
14,52
8,17
16,28
4,84
8,25
34,78
34,59
42,16
4,22
42,31
11,19
47,74
7,96
41,55
32,73
46,78
10,15
15,50
26,39
20,38
26,95
35,12
13,84
17,100
16,22
35,80
48,31
6,88
27,65
34,53
46,28
31,65
21,72
25,12
48,91
28,94
33,57
40,86
13,61
2,53
30,63
40,50
35,59
12,86
10,94
30,95
43,67
46,81
8,63
3,58
50,43
50,14
47,36
41,70
44,27
39,92
12,84
33,76
31,60
24,86
9,41
1,75
40,61
47,29
45,88
35,52
4,84
31,23
6,11
1,85
37,21
6,12
33,76
30,94
49,51
36,93
50,85
19,78
15,64
26,60
3,86
29,61
23,67
8,85
44,100
41,62
3,46
50,18
48,64
1,18
14,43
5,90
21,16
33,14
44,60
33,47
23,10
28,12
26,72
29,42
45,83
3,19
49,84
49,38
4,72
31,52
30,43
34,75
5,24
28,57
36,68
14,34
44,75
10,81
19,79
31,41
41,74
38,16
4,31
41,96
10,80
35,35
7,43
29,26
7,55
49,65
31,26
17,22
10,22
34,53
9,61
23,22
32,87
28,24
23,96
7,93
10,88
29,51
7,98
16,30
19,12
10,40
34,85
26,66
37,96
3,87
4,66
27,40
43,76
26,14
28,37
17,64
29,60
27,10
19,83
32,88
13,26
7,67
20,90
24,71
32,13
15,78
45,93
3,17
49,93
14,50
46,29
7,87
37,59
47,12
38,57
44,56
33,40
47,84
37,23
21,26
42,15
9,80
8,63
46,86
28,14
41,85
31,44
18,56
35,65
19,98
22,76
47,24
39,81
37,76
1,46
39,21
13,93
2,86
15,40
29,58
14,89
41,49
8,73
45,89
24,85
19,26
4,69
18,74
47,17
34,49
21,24
21,25
1,54
36,27
15,73
2,29
33,96
43,72
6,54
1,40
49,73
29,35
31,39
16,22
14,38
7,63
4,31
19,98
7,78
33,31
43,40
40,55
39,70
38,86
20,23
18,46
16,38
27,100
41,80
22,92
16,41
43,89
42,100
48,12
6,10
28,31
46,55
38,29
25,89
3,44
25,34
32,84
21,97
5,95
40,68
23,91
43,84
22,80
21,80
26,49
3,88
30,50
18,60
18,39
41,53
2,42
35,17
50,76
4,81
9,54
15,93
