weight,value
13,17
17,54
5,34
47,47
25,70
24,75
40,81
13,51
7,34
30,41
48,55
33,97
14,64
44,34
19,58
29,40
28,46
25,71
29,19
15,20
10,38
18,72
36,68
36,40
18,26
2,28
21,40
27,45
7,97
27,34
30,92
5,84
18,49
4,92
10,66
20,78
6,49
34,38
26,90
19,39
14,23
10,96
20,68
15,48
8,90
40,13
33,91
27,40
46,25
37,87
39,68
13,82
13,61
32,41
28,31
48,71
4,25
43,70
41,42
10,84
35,68
14,69
37,64
3,81
22,77
1,72
18,47
16,96
37,91
25,74
26,22
1,74
47,98
50,74
6,66
26,10
25,71
17,46
47,50
34,95
7,69
16,27
39,50
8,51
4,56
14,59
16,83
8,35
1,57
3,37
26,13
19,85
44,62
21,50
16,94
38,73
18,46
13,100
15,79
40,73
7,17
5,76
48,55
10,29
1,51
31,33
32,74
44,36
22,18
27,39
45,92
12,67
35,51
3,82
40,96
15,61
12,69
12,51
43,48
27,77
44,61
41,89
37,50
33,13
29,32
46,86
15,54
35,40
43,93
4,85
28,10
42,65
8,88
9,13
6,78
18,45
42,35
13,82
46,68
14,88
16,44
1,19
24,36
26,47
19,94
49,26
28,92
24,39
17,58
31,13
6,90
13,90
23,97
22,99
28,60
14,95
44,93
30,38
43,100
13,51
2,72
37,85
39,90
10,23
28,73
32,67
13,31
5,20
23,42
43,15
7,77
23,85
28,69
44,32
50,45
3,42
8,64
18,99
39,17
21,66
19,60
33,12
48,72
39,57
29,63
43,42
5,84
48,49
48,74
8,27
32,84
43,25
11,26
39,56
42,42
37,85
37,58
3,34
26,71
25,13
11,84
17,90
5,51
13,85
1,17
31,49
46,58
11,85
35,65
33,53
7,100
21,57
2,74
50,38
21,40
22,84
26,13
3,84
19,81
12,17
34,36
17,28
41,72
34,67
23,63
7,100
25,15
4,63
30,71
22,25
40,94
12,42
12,90
14,58
26,76
8,52
33,10
47,68
14,91
49,40
41,45
21,66
45,37
9,19
22,74
39,92
48,92
47,16
31,77
16,22
34,19
23,23
15,91
30,73
1,58
